woonplaats,gemeente,provincie
1e Exloërmond,Borger-Odoorn,Drenthe
2e Exloërmond,Borger-Odoorn,Drenthe
2e Valthermond,Borger-Odoorn,Drenthe
Aadorp,Almelo,Overijssel
Aagtekerke,Veere,Zeeland
Aalden,Coevorden,Drenthe
Aalsmeer,Aalsmeer,Noord-Holland
Aalsmeerderbrug,Haarlemmermeer,Noord-Holland
Aalst,Zaltbommel,Gelderland
Aalsum,Noardeast-Friesland,Friesland
Aalten,Aalten,Gelderland
Aardenburg,Sluis,Zeeland
Aarlanderveen,Alphen aan den Rijn,Zuid-Holland
Aarle-Rixtel,Laarbeek,Noord-Brabant
Aartswoud,Opmeer,Noord-Holland
Abbega,Súdwest-Friesland,Friesland
Abbekerk,Medemblik,Noord-Holland
Abbenbroek,Nissewaard,Zuid-Holland
Abbenes,Haarlemmermeer,Noord-Holland
Abcoude,De Ronde Venen,Utrecht
Achlum,Waadhoeke,Friesland
Achterveld,Barneveld,Gelderland
Achterveld,Leusden,Utrecht
Achthuizen,Goeree-Overflakkee,Zuid-Holland
Achtmaal,Zundert,Noord-Brabant
Acquoy,West Betuwe,Gelderland
Adorp,Het Hogeland,Groningen
Aduard,Westerkwartier,Groningen
Aerdenhout,Bloemendaal,Noord-Holland
Aerdt,Zevenaar,Gelderland
Afferden,Druten,Gelderland
Afferden L,Bergen,Limburg
Agelo,Dinkelland,Overijssel
Akersloot,Castricum,Noord-Holland
Akkrum,Heerenveen,Friesland
Akmarijp,De Fryske Marren,Friesland
Albergen,Tubbergen,Overijssel
Alblasserdam,Alblasserdam,Zuid-Holland
Alde Leie,Leeuwarden,Friesland
Aldeboarn,Heerenveen,Friesland
Aldtsjerk,Tytsjerksteradiel,Friesland
Aldwâld,Noardeast-Friesland,Friesland
Alem,Maasdriel,Gelderland
Alkmaar,Alkmaar,Noord-Holland
Allingawier,Súdwest-Friesland,Friesland
Almelo,Almelo,Overijssel
Almen,Lochem,Gelderland
Almere,Almere,Flevoland
Almkerk,Altena,Noord-Brabant
Alphen,West Maas en Waal,Gelderland
Alphen,Alphen-Chaam,Noord-Brabant
Alphen aan den Rijn,Alphen aan den Rijn,Zuid-Holland
Alteveer,De Wolden,Drenthe
Alteveer,Stadskanaal,Groningen
Alteveer,Noordenveld,Drenthe
Alteveer gem Hoogeveen,Hoogeveen,Drenthe
Altforst,West Maas en Waal,Gelderland
Ambt Delden,Hof van Twente,Overijssel
Ameide,Vijfheerenlanden,Utrecht
Amen,Aa en Hunze,Drenthe
America,Horst aan de Maas,Limburg
Amerongen,Utrechtse Heuvelrug,Utrecht
Amersfoort,Amersfoort,Utrecht
Ammerstol,Krimpenerwaard,Zuid-Holland
Ammerzoden,Maasdriel,Gelderland
Amstelhoek,De Ronde Venen,Utrecht
Amstelveen,Amstelveen,Noord-Holland
Amstenrade,Beekdaelen,Limburg
Amsterdam,Amsterdam,Noord-Holland
Amsterdam-Duivendrecht,Ouder-Amstel,Noord-Holland
Andel,Altena,Noord-Brabant
Andelst,Overbetuwe,Gelderland
Anderen,Aa en Hunze,Drenthe
Andijk,Medemblik,Noord-Holland
Ane,Hardenberg,Overijssel
Anerveen,Hardenberg,Overijssel
Anevelde,Hardenberg,Overijssel
Angeren,Lingewaard,Gelderland
Angerlo,Zevenaar,Gelderland
Ankeveen,Wijdemeren,Noord-Holland
Anloo,Aa en Hunze,Drenthe
Anna Paulowna,Hollands Kroon,Noord-Holland
Annen,Aa en Hunze,Drenthe
Annerveenschekanaal,Aa en Hunze,Drenthe
Ansen,De Wolden,Drenthe
Ansen,Westerveld,Drenthe
Apeldoorn,Apeldoorn,Gelderland
Appelscha,Ooststellingwerf,Friesland
Appeltern,West Maas en Waal,Gelderland
Appingedam,Eemsdelta,Groningen
Arcen,Venlo,Limburg
Arkel,Molenlanden,Zuid-Holland
Arnemuiden,Middelburg,Zeeland
Arnhem,Arnhem,Gelderland
Arriën,Ommen,Overijssel
Arum,Súdwest-Friesland,Friesland
Asch,Buren,Gelderland
Asperen,West Betuwe,Gelderland
Assen,Assen,Drenthe
Assendelft,Zaanstad,Noord-Holland
Asten,Asten,Noord-Brabant
Augsbuert-Lytsewâld,Noardeast-Friesland,Friesland
Augustinusga,Achtkarspelen,Friesland
Austerlitz,Zeist,Utrecht
Avenhorn,Koggenland,Noord-Holland
Axel,Terneuzen,Zeeland
Azewijn,Montferland,Gelderland
Baaiduinen,Terschelling,Friesland
Baaium,Waadhoeke,Friesland
Baak,Bronckhorst,Gelderland
Baambrugge,De Ronde Venen,Utrecht
Baard,Leeuwarden,Friesland
Baarland,Borsele,Zeeland
Baarle-Nassau,Baarle-Nassau,Noord-Brabant
Baarlo,Peel en Maas,Limburg
Baarlo,Steenwijkerland,Overijssel
Baarn,Baarn,Utrecht
Baars,Steenwijkerland,Overijssel
Babberich,Zevenaar,Gelderland
Babyloniënbroek,Altena,Noord-Brabant
Bad Nieuweschans,Oldambt,Groningen
Badhoevedorp,Haarlemmermeer,Noord-Holland
Baexem,Leudal,Limburg
Baflo,Het Hogeland,Groningen
Bakel,Gemert-Bakel,Noord-Brabant
Bakhuizen,De Fryske Marren,Friesland
Bakkeveen,Opsterland,Friesland
Balgoij,Wijchen,Gelderland
Balinge,Midden-Drenthe,Drenthe
Balk,De Fryske Marren,Friesland
Balkbrug,Hardenberg,Overijssel
Balloo,Aa en Hunze,Drenthe
Balloërveld,Aa en Hunze,Drenthe
Ballum,Ameland,Friesland
Baneheide,Simpelveld,Limburg
Banholt,Eijsden-Margraten,Limburg
Bant,Noordoostpolder,Flevoland
Bantega,De Fryske Marren,Friesland
Barchem,Lochem,Gelderland
Barendrecht,Barendrecht,Zuid-Holland
Barger-Compascuum,Emmen,Drenthe
Barneveld,Barneveld,Gelderland
Barsingerhorn,Hollands Kroon,Noord-Holland
Basse,Steenwijkerland,Overijssel
Batenburg,Wijchen,Gelderland
Bathmen,Deventer,Overijssel
Bavel,Breda,Noord-Brabant
Bavel AC,Alphen-Chaam,Noord-Brabant
Bears,Leeuwarden,Friesland
Bedum,Het Hogeland,Groningen
Beegden,Maasgouw,Limburg
Beek,Montferland,Gelderland
Beek,Berg en Dal,Gelderland
Beek,Beek,Limburg
Beek en Donk,Laarbeek,Noord-Brabant
Beekbergen,Apeldoorn,Gelderland
Beemte Broekland,Apeldoorn,Gelderland
Beers NB,Land van Cuijk,Noord-Brabant
Beerta,Oldambt,Groningen
Beerze,Ommen,Overijssel
Beerzerveld,Ommen,Overijssel
Beesd,West Betuwe,Gelderland
Beesel,Beesel,Limburg
Beets,Edam-Volendam,Noord-Holland
Beetsterzwaag,Opsterland,Friesland
Beilen,Midden-Drenthe,Drenthe
Beinsdorp,Haarlemmermeer,Noord-Holland
Belfeld,Venlo,Limburg
Bellingwolde,Westerwolde,Groningen
Belt-Schutsloot,Steenwijkerland,Overijssel
Beltrum,Berkelland,Gelderland
Bemelen,Eijsden-Margraten,Limburg
Bemmel,Lingewaard,Gelderland
Beneden-Leeuwen,West Maas en Waal,Gelderland
Bennebroek,Bloemendaal,Noord-Holland
Bennekom,Ede,Gelderland
Benneveld,Coevorden,Drenthe
Benningbroek,Medemblik,Noord-Holland
Benschop,Lopik,Utrecht
Bentelo,Hof van Twente,Overijssel
Benthuizen,Alphen aan den Rijn,Zuid-Holland
Bentveld,Zandvoort,Noord-Holland
Berg en Dal,Berg en Dal,Gelderland
Berg en Terblijt,Valkenburg aan de Geul,Limburg
Bergambacht,Krimpenerwaard,Zuid-Holland
Bergeijk,Bergeijk,Noord-Brabant
Bergen (NH),Bergen,Noord-Holland
Bergen L,Bergen,Limburg
Bergen aan Zee,Bergen,Noord-Holland
